gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_113340,0.850089169,Slow,0.72885692,0.971321419,0.003674315,1
PBANKA_113380,0.986326649,Dispensable,0.912907119,1.059746179,0.001347607,1
PBANKA_113400,0.090313235,Essential,0.026214715,0.154411754,0.001027155,3
PBANKA_113410,0.245400434,Essential,0.005371454,0.485429414,0.014403478,2
PBANKA_113420,0.943388226,Dispensable,0.821189581,1.065586872,0.003733127,1
PBANKA_113430,0.242898483,Essential,-0.09989173,0.585688695,0.029376282,2
PBANKA_113490,0.033378674,Essential,-0.136765496,0.203522844,0.00723726,1
PBANKA_113510,0.036496779,Essential,-0.017284222,0.09027778,0.000723099,2
PBANKA_113540,0.1,Essential,NA,NA,Inf,1
PBANKA_113550,0.883393599,Dispensable,0.772957031,0.993830168,0.003049059,1
PBANKA_113560,0.180180304,Essential,0.077916399,0.282444209,0.002614477,3
PBANKA_113590,0.998946969,Dispensable,0.811219592,1.186674347,0.008810392,1
PBANKA_113640,0.213794362,Essential,-0.023837678,0.451426402,0.014117247,2
PBANKA_113650,0.016719955,Essential,-0.013727443,0.047167353,0.000231761,2
PBANKA_113660,0.217184793,Essential,-0.07172618,0.506095767,0.020867388,2
PBANKA_113670,0.650755414,Slow,0.379462847,0.922047982,0.018399914,2
PBANKA_113690,0.076712848,Essential,-0.040210062,0.193635758,0.003417742,3
PBANKA_113700,0.078064484,Essential,-0.024993685,0.181122653,0.002655247,2
PBANKA_113720,0.303947752,Slow,0.109951809,0.497943696,0.009408607,3
PBANKA_113740,0.957128657,Dispensable,0.845391611,1.068865703,0.003121292,2
PBANKA_113770,0.050726896,Essential,-0.04112564,0.142579432,0.002109222,3
PBANKA_113780,0.037941675,Essential,-0.005895586,0.081778936,0.000480426,3
PBANKA_113800,0.11485459,Essential,0.028590471,0.201118709,0.001860375,2
PBANKA_113810,1.036707776,Dispensable,0.948603347,1.124812206,0.001940598,1
PBANKA_113820,0.150417618,Essential,-0.199998558,0.500833794,0.030697874,2
PBANKA_113840,0.191644617,Essential,-0.169156676,0.55244591,0.032544393,2
PBANKA_113850,0.12081496,Essential,0.020045436,0.221584484,0.002538624,2
PBANKA_113860,0.994660708,Dispensable,0.850075041,1.139246375,0.005226254,1
PBANKA_113870,0.85972502,Dispensable,0.671233098,1.048216942,0.008882301,1
PBANKA_113880,0.394813294,Slow,0.27121764,0.518408948,0.003818971,2
PBANKA_113890,0.932417495,Dispensable,0.805352436,1.059482553,0.004036382,2
PBANKA_113930,0.095243284,Essential,0.058098932,0.132387637,0.000344926,2
PBANKA_113950,0.934673432,Dispensable,0.852947956,1.016398908,0.001669763,1
PBANKA_113970,0.146298092,Essential,0.042555596,0.250040588,0.002690626,3
